,title,item_id,tags,score
31577,Team Fortress 2,440.0,"robots, class-based, stats, fps, first-person, steamtradingcards, commentaryavailable, competitive, cross-platformmultiplayer, shooter, trading, freetoplay, partialcontrollersupport, captionsavailable, includesleveleditor, valveanti-cheatenabled, cartoon, multiplayer, crafting, steamworkshop, action, cartoony, onlineco-op, co-op, multi-player, in-apppurchases, steamachievements, comedy, team-based, tactical, funny, moddable0.0valve",1.0
1034,Counter-Strike: Global Offensive,730.0,"pvp, stats, fps, realistic, difficult, first-person, steamtradingcards, strategy, competitive, e-sports, shooter, trading, fast-paced, valveanti-cheatenabled, multiplayer, steamworkshop, action, military, onlineco-op, fullcontrollersupport, co-op, multi-player, in-apppurchases, steamachievements, team-based, tactical, war, moddable14.99valve",0.9211456894469481
53,Garry's Mod,4000.0,"animation&modeling, fps, steamcloud, first-person, steamtradingcards, indie, sandbox, cross-platformmultiplayer, shooter, captionsavailable, physics, includesleveleditor, adventure, valveanti-cheatenabled, simulation, mod, single-player, multiplayer, singleplayer, steamworkshop, action, massivelymultiplayer, building, onlineco-op, co-op, multi-player, comedy, steamachievements, funny, moddable9.99facepunch studios",0.6980783884209487
1451,Dota 2,570.0,"pvp, replayvalue, charactercustomization, htcvive, fantasy, difficult, room-scale, steamtradingcards, trackedmotioncontrollers, strategy, moba, e-sports, competitive, freetoplay, seated, standing, towerdefense, valveanti-cheatenabled, simulation, rpg, steamvrcollectibles, multiplayer, steamworkshop, action, actionrpg, onlineco-op, co-op, multi-player, in-apppurchases, rts, team-based0.0nodata",0.6302665154781345
30979,Terraria,105600.0,"replayvalue, onlineco-op, onlinemulti-player, steamcloud, 2d, familyfriendly, steamtradingcards, indie, pixelgraphics, sandbox, atmospheric, adventure, platformer, rpg, single-player, multiplayer, crafting, singleplayer, action, openworld, building, onlineco-op, fullcontrollersupport, survival, co-op, multi-player, steamachievements, exploration9.99re-logic",0.5642982222277867
31624,Psychonauts,3830.0,"3dvision, steamcloud, 3dplatformer, surreal, storyrich, action-adventure, steamtradingcards, indie, psychological, cultclassic, partialcontrollersupport, adventure, greatsoundtrack, platformer, single-player, cute, singleplayer, action, classic, thirdperson, cartoony, comedy, steamachievements, funny, exploration9.99double fine productions",0.5627148033470238
3151,Hand of Fate,266510.0,"fantasy, steamcloud, boardgame, difficult, steamtradingcards, indie, atmospheric, adventure, rpg, single-player, beat'emup, singleplayer, action, thirdperson, cardgame, rogue-lite, steamleaderboards, actionrpg, hackandslash, fullcontrollersupport, chooseyourownadventure, rogue-like, steamachievements19.99defiant development",0.5620720679919728
25051,Refunct,406150.0,"steamcloud, parkour, first-person, 3dplatformer, familyfriendly, steamtradingcards, short, indie, colorful, atmospheric, puzzle, casual, greatsoundtrack, adventure, platformer, single-player, puzzle-platformer, cute, singleplayer, relaxing, openworld, fullcontrollersupport, steamachievements, exploration2.99dominique grieshofer",0.5619113841532102
22823,Melody's Escape,270210.0,"music-basedproceduralgeneration, music, parkour, 2d, difficult, steamtradingcards, indie, rhythm, colorful, atmospheric, casual, runner, femaleprotagonist, greatsoundtrack, platformer, adventure, single-player, singleplayer, steamworkshop, action, proceduralgeneration, fullcontrollersupport, sidescroller, steamachievements9.99icetesy sprl",0.5619113841532102
30642,Tiny and Big: Grandpa's Leftovers,205910.0,"stats, steamcloud, 3dplatformer, steamtradingcards, short, indie, sandbox, atmospheric, puzzle, physics, adventure, greatsoundtrack, platformer, single-player, singleplayer, action, thirdperson, steamleaderboards, fullcontrollersupport, comedy, steamachievements, funny9.99black pants studio",0.5619113841532102
